urun_adi,barkod,adet,birim_fiyat,skt_tarihi,kategori
Su 1.5L,8690504322001,100,5.50,2025-06-30,İçecek
Kola 2.5L,8690504322002,48,42.00,2025-04-15,İçecek
Ayran 250ml,8690504322003,60,8.50,2024-12-04,İçecek
Meyve Suyu 1L,8690504322004,36,22.00,2025-01-30,İçecek
Çikolata 80g,8690504322005,50,18.50,2025-03-20,Atıştırmalık
Cips 150g,8690504322006,40,25.00,2025-02-10,Atıştırmalık
Bisküvi 200g,8690504322007,35,15.00,2025-02-28,Atıştırmalık
Kraker 100g,8690504322008,30,12.50,2025-03-15,Atıştırmalık
Tuvalet Kağıdı 16'lı,8690504322009,25,85.00,2026-12-31,Temizlik
Bulaşık Deterjanı 1L,8690504322010,20,65.00,2026-06-30,Temizlik
Çamaşır Deterjanı 3kg,8690504322011,15,145.00,2026-05-20,Temizlik
Sabun 6'lı,8690504322012,30,48.00,2026-03-31,Temizlik
Şampuan 500ml,8690504322013,18,75.00,2025-12-31,Kişisel Bakım
Diş Macunu 100ml,8690504322014,25,42.00,2026-01-31,Kişisel Bakım
Traş Bıçağı 5'li,8690504322015,20,55.00,2026-12-31,Kişisel Bakım
